route_distance,crow_distance,edges
294,196,"[53.9, 8.715, 9.436, 9.993, 42.75, 31.003999999999998, 34.028, 7.214, 97.264]"
1314,1127,"[47.428000000000004, 7.677, 29.393, 19.719, 3.319, 2.649, 4.437, 10.248, 3.907, 25.135, 14.864, 12.727, 4.798, 24.61, 11.367, 14.370000000000001, 5.476, 5.306, 96.677, 8.9, 2.998, 51.782, 19.049, 12.941, 11.717, 25.951999999999998, 19.063, 52.056, 32.912, 7.267, 1.573, 9.535, 14.712, 14.22, 7.963, 1.047, 9.808, 4.381, 7.512, 2.303, 9.191, 4.693, 21.603, 1.963, 3.167, 6.914, 7.459, 90.276, 7.888, 6.678, 79.926, 8.114, 7.596, 8.356, 8.238, 104.317, 8.839, 18.865, 148.586, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
646,418,"[65.759, 5.376, 9.237, 8.882, 7.669, 38.972, 4.896, 6.75, 12.893, 7.059, 8.866, 13.53, 19.529000000000003, 50.713, 19.313, 29.731, 22.935000000000002, 33.769, 8.736, 34.488, 4.759, 6.569, 7.005, 5.611, 62.824, 10.434, 40.062000000000005, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
566,122,"[7.502, 45.044, 8.711, 17.591, 52.02, 6.649000000000001, 10.652000000000001, 6.927, 14.258000000000001, 20.312, 7.206, 9.717, 14.354, 35.594, 14.672, 45.66, 12.644, 69.046, 91.189, 76.113]"
2122,1993,"[7.307, 37.553, 8.009, 88.916, 1.614, 7.33, 7.021000000000001, 3.684, 98.208, 4.445, 10.098, 24.522, 15.485, 66.042, 30.854999999999997, 12.804, 8.42, 67.841, 8.112, 27.494999999999997, 4.381, 52.858, 20.154, 16.61, 28.379, 28.360999999999997, 6.622, 4.88, 4.921, 49.19, 30.667, 43.518, 9.2, 28.183, 61.94, 76.443, 32.095, 9.238, 7.853, 91.329, 42.389, 9.429, 26.168, 49.032, 5.727, 1.721, 8.261, 20.169999999999998, 21.65, 10.554, 136.084, 10.439, 38.028999999999996, 9.14, 121.22200000000001, 9.105, 55.8, 9.699, 76.763, 94.494, 11.564, 42.75, 31.003999999999998, 34.028, 7.214, 97.264]"
1423,985,"[3.155, 2.769, 5.909, 1.235, 3.516, 11.948, 8.983, 12.635, 10.433, 9.715, 8.682, 4.158, 22.678, 7.213, 31.493, 10.827, 10.208, 6.812, 9.789, 23.715, 2.018, 6.024, 74.301, 19.365000000000002, 107.99000000000001, 9.745, 9.503, 117.79599999999999, 7.974, 9.299, 54.858, 25.409000000000002, 242.93499999999997, 13.795, 38.976, 25.21, 6.476, 16.126, 93.769, 3.54, 47.708, 6.369, 65.71600000000001, 18.762, 8.133, 25.413, 46.177, 6.576, 5.966, 1.413, 6.124, 7.141, 6.265000000000001, 29.342000000000002, 16.528, 21.777, 8.279, 3.911]"
1138,929,"[15.557, 25.069, 8.506, 6.433, 12.120999999999999, 94.523, 14.103, 4.315, 22.477, 12.362000000000002, 16.037, 22.871, 15.145, 26.476, 201.11999999999998, 35.207, 9.073, 81.547, 57.807, 70.28, 77.83399999999999, 12.667, 9.119, 4.201, 24.225, 43.103, 22.982999999999997, 12.337, 29.829, 2.753, 5.91, 16.517, 7.604, 10.414, 10.649, 17.254, 14.802, 17.469, 47.473]"
1171,1116,"[9.429, 42.389, 91.329, 7.853, 9.238, 32.095, 76.443, 61.94, 28.183, 9.2, 43.518, 30.667, 49.19, 4.921, 4.88, 6.622, 28.360999999999997, 4.465, 28.455, 16.558, 11.447999999999999, 7.466, 41.91, 49.624, 8.913, 60.513, 7.834, 52.522999999999996, 4.364, 66.238, 6.661, 9.84, 12.974, 1.602, 113.705, 1.989, 7.2219999999999995, 7.515, 2.218, 0.582, 4.383, 2.465, 3.333, 5.64, 7.235, 3.232, 9.321, 4.558, 5.744, 7.659, 15.076, 4.801, 10.53, 2.324, 2.336, 7.39, 8.213, 6.098]"
1913,1602,"[69.094, 2.445, 7.889, 6.565, 7.058, 22.108, 20.051000000000002, 21.154, 17.469, 76.857, 23.504, 5.804, 5.96, 37.627, 71.779, 15.683, 1.647, 29.75, 8.209, 10.579, 7.676, 9.03, 64.468, 15.313, 14.762, 9.835, 35.777, 121.52199999999999, 33.537, 118.57999999999998, 7.976, 8.022, 134.639, 5.765, 17.942, 5.487, 148.586, 18.865, 8.839, 104.31700000000001, 15.261, 13.6, 79.83500000000001, 6.88, 8.235, 89.991, 7.167, 10.225, 49.883, 34.832, 14.501, 20.518, 74.804, 7.979, 8.031, 8.15, 110.455]"
689,633,"[5.671, 49.893, 5.396, 179.236, 5.414, 6.323, 64.896, 10.648, 6.448, 7.311, 3.065, 36.061, 11.088, 1.013, 23.04, 5.752, 6.615, 55.127, 28.528, 12.99, 15.919, 30.762, 7.027, 8.08, 20.134, 66.722, 3.886, 1.238, 4.952, 5.302]"
