route_distance,crow_distance,edges
1990,1660,"[32.538, 41.756, 2.972, 23.261, 3.179, 5.224, 40.993, 3.405, 5.176, 39.231, 5.138, 1.874, 117.63000000000001, 3.923, 4.089, 4.483, 4.056, 44.567, 8.337, 37.228, 1.02, 41.463, 4.705, 12.597, 103.955, 7.486, 19.778, 12.476, 54.206999999999994, 24.282, 75.06700000000001, 17.213, 98.25399999999999, 77.61, 60.428, 15.653, 73.164, 36.072, 9.547, 23.091, 16.326, 16.915, 17.672, 19.232, 72.11800000000001, 5.161, 34.142, 8.65, 34.418, 41.952, 35.423, 20.662, 27.657, 16.92, 7.544, 24.494, 2.287, 16.978, 11.969, 11.09, 3.772, 6.096, 9.154, 65.304, 17.032, 11.811, 20.961, 78.351, 14.144, 11.048, 9.856, 18.627, 6.538, 9.001, 69.346]"
1024,594,"[55.812999999999995, 8.42, 104.697, 64.866, 59.896, 101.308, 18.187, 46.076, 33.704, 41.247, 6.45, 17.325, 122.10199999999999, 6.38, 12.475, 13.488, 2.457, 5.359, 3.176, 21.132, 29.46, 19.881, 4.457, 14.85, 17.062, 6.793, 17.0, 4.231, 7.763, 7.733, 43.395, 7.249, 26.296, 12.475, 7.946, 10.007000000000001, 24.83, 17.527]"
992,816,"[12.139, 72.248, 8.355, 6.494, 20.324, 7.369, 6.566, 6.928, 6.605, 59.521, 65.045, 76.483, 7.736, 10.935, 9.218, 34.505, 35.168, 27.602, 20.57, 15.167, 109.04100000000001, 30.525, 12.376999999999999, 9.07, 11.449, 59.414, 9.471, 18.865, 6.409, 86.485, 7.015, 5.241, 117.193]"
1132,928,"[34.917, 51.846, 1.912, 4.909, 168.106, 7.132, 11.224, 70.721, 45.388, 34.175, 9.541, 9.019, 9.742, 90.494, 6.086, 95.514, 104.02, 13.447, 82.786, 11.456, 21.183999999999997, 148.586, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
2270,1786,"[5.928, 6.81, 49.355999999999995, 69.818, 2.845, 6.783, 7.521, 86.289, 4.613, 65.543, 4.689, 7.097, 7.19, 39.870999999999995, 35.094, 34.913000000000004, 18.869, 10.673, 12.731, 65.687, 6.783, 79.83500000000001, 13.6, 15.261, 104.317, 8.839, 18.865, 148.586, 5.487, 17.942, 5.765, 134.639, 8.022, 119.131, 168.20399999999998, 43.946, 92.879, 12.393, 48.602999999999994, 10.697, 11.058, 79.215, 61.461999999999996, 144.331, 4.444, 11.285, 11.751000000000001, 83.05499999999999, 4.296, 97.58600000000001, 66.952, 29.880000000000003, 58.114]"
1945,1534,"[29.07, 51.416, 4.899, 13.959, 10.301, 10.774999999999999, 8.382, 19.021, 5.371, 35.73499999999999, 15.305, 16.385, 12.124, 47.104, 6.342, 5.576, 12.68, 14.681, 1.385, 17.431, 23.132, 6.503, 15.648, 17.846, 7.879, 12.72, 7.599, 7.248, 19.56, 17.427, 5.868, 4.25, 24.366, 5.459, 20.804, 21.649, 3.963, 4.964, 12.939, 9.216999999999999, 6.776, 11.81, 12.309, 42.212, 5.931, 15.487, 13.629, 3.868, 28.43, 19.989, 4.282, 4.103, 3.033, 35.958, 12.608, 13.322, 8.911, 7.884, 7.515, 16.047, 4.205, 86.18499999999999, 10.833, 15.157, 242.93499999999997, 13.795, 38.976, 25.21, 6.476, 16.126, 93.769, 3.54, 6.728, 33.767, 4.89, 9.406, 28.398, 47.24, 6.671, 4.815, 4.262, 14.727, 42.765, 25.095, 10.595, 5.33, 4.89, 5.744, 7.032, 4.743, 8.242, 4.732, 7.53, 1.69, 2.242, 2.532, 2.692, 8.788, 21.168, 9.344, 2.727, 8.138, 1.323, 6.8740000000000006, 5.785, 9.905, 2.051, 6.111, 3.475, 4.918, 3.785, 3.109, 3.13, 5.309, 8.131, 6.24, 6.286, 17.323, 5.861, 6.079, 5.89, 12.355, 1.723, 5.449, 16.5, 32.641999999999996]"
702,533,"[16.205, 16.366, 28.246000000000002, 32.496, 9.858, 9.491, 5.948, 4.099, 19.212, 7.086, 13.762, 5.667, 34.089, 6.512, 142.236, 16.313, 9.381, 34.594, 14.653, 9.59, 26.812, 18.282, 17.017, 9.455, 8.359, 31.882, 7.232, 9.767, 9.716, 7.602, 6.171, 14.870999999999999, 12.875, 19.812, 6.902, 11.163, 48.227]"
502,343,"[11.191, 23.74, 6.269, 7.716, 91.13, 113.757, 44.42, 18.884, 4.884, 15.487, 5.931, 42.212, 12.309, 11.81, 17.471, 18.932, 3.526, 7.309, 22.697, 5.042, 16.907]"
847,560,"[13.353, 17.204, 8.701, 5.406, 4.525, 42.480000000000004, 3.663, 4.599, 91.246, 8.436, 49.241, 30.365000000000002, 5.298, 40.116, 22.879, 9.481, 59.428, 4.384, 11.549, 9.817, 71.462, 113.9, 6.79, 5.485, 4.604, 14.171, 35.207, 13.061, 21.880000000000003, 26.418, 9.887, 7.763, 33.763, 40.189]"
3338,1475,"[16.304, 14.322, 4.027, 12.174, 53.349000000000004, 8.695, 111.267, 12.654, 74.72, 9.085, 9.041, 14.66, 12.057, 74.72800000000001, 14.902, 91.128, 8.69, 124.322, 9.168, 184.138, 14.131, 11.279, 67.61, 122.99399999999999, 11.98, 95.831, 5.512, 7.264, 20.726, 13.414, 16.757, 19.722, 10.148, 7.94, 43.954, 16.458000000000002, 62.207, 3.264, 31.53, 522.126, 25.538999999999998, 41.767, 64.015, 14.038, 43.171, 69.50999999999999, 16.924, 12.638, 9.272, 18.085, 47.406, 8.683, 19.068, 91.577, 98.614, 44.992, 32.311, 40.400999999999996, 32.821, 8.333, 64.045, 12.611, 19.25, 15.299, 64.723, 5.089, 7.946, 15.594, 7.252, 4.861, 57.302, 6.211, 8.518, 10.405, 5.319, 76.83000000000001, 32.319, 43.165, 38.301, 47.732, 12.767, 5.677, 29.413, 8.182, 35.408]"
264,201,"[7.289, 6.365, 7.416, 7.295, 11.562, 5.282, 20.025, 14.975, 1.942, 1.692, 5.263, 20.264, 11.19, 17.357, 1.71, 16.374000000000002, 17.232, 9.619, 8.42, 1.555, 5.582, 12.626000000000001, 6.641, 46.644]"
386,325,"[6.741, 38.809000000000005, 8.42, 1.555, 5.582, 12.626000000000001, 6.641, 46.644, 29.997999999999998, 5.001, 112.83, 74.777, 21.884, 7.145, 7.427]"
883,848,"[7.216, 8.629, 7.623, 80.216, 87.724, 9.468, 8.868, 7.04, 31.616, 88.733, 15.742, 77.749, 157.07799999999997, 70.194, 77.488, 9.478, 39.134, 5.88, 44.198, 48.85399999999999]"
248,214,"[17.062, 6.793, 17.0, 4.231, 7.763, 47.503, 6.783, 26.165, 6.996, 7.663, 8.446000000000002, 2.19, 6.986000000000001, 7.787, 6.6, 26.295, 2.33, 39.64]"
2942,2573,"[4.744, 3.325, 61.147, 23.81, 4.248, 4.057, 27.679, 17.517, 21.539, 39.671, 10.563, 48.335, 17.693, 8.425, 38.177, 10.227, 9.395, 136.084, 10.554, 21.65, 19.086, 83.273, 5.076, 5.563, 14.266, 38.418000000000006, 46.174, 74.047, 10.484, 6.993, 98.089, 119.161, 6.908, 6.232, 13.983, 6.73, 38.809, 6.741, 11.954, 26.259, 24.614, 24.691000000000003, 11.75, 12.775, 29.448, 5.634, 66.274, 10.456, 11.311, 42.873, 4.969, 20.729, 7.667, 44.00000000000001, 52.315, 21.312, 6.350999999999999, 5.77, 4.346, 6.905, 8.682, 8.523, 5.493, 2.733, 4.874, 6.538, 9.046, 9.674, 8.014, 6.91, 6.066000000000001, 0.801, 9.052, 7.456, 4.471, 5.481, 3.401, 5.413, 8.459, 7.449, 128.726, 63.702000000000005, 56.666999999999994, 61.1, 54.114000000000004, 98.459, 13.945, 6.545, 137.00699999999998, 17.878, 18.978, 16.019, 33.638, 92.544, 21.01, 3.021, 5.623, 14.491, 4.429, 5.935, 32.09, 9.905, 48.85, 18.248, 18.09, 43.814, 3.438, 1.826, 56.32899999999999, 48.269000000000005, 33.232, 5.201, 30.586, 32.364, 6.393]"
684,536,"[4.103, 0.873, 29.349999999999998, 8.895, 9.118, 20.518, 74.804, 8.62, 8.408, 120.763, 13.587, 6.255, 10.391, 5.073, 48.606, 21.052, 27.364, 2.629, 39.028999999999996, 7.008, 15.167, 109.04100000000001, 30.525, 9.029, 6.299, 5.523, 42.332]"
